#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
CDPREDUCT-RXN	EC-1.17.4.1
ARYLFORMAMIDASE-RXN	EC-3.5.1.9
RXN-7590	EC-1.14.11
RXN-12696	EC-2.4.1.35
RXN-12134	
RXN-1224	EC-2.4.1
RXN-12686	EC-3.1.1.14
RXN-11428	EC-3.4.19
RXN-4242	EC-1.3.1
2.4.1.214-RXN	EC-2.4.1.214
RXN-7973	EC-1.13.11.51
SERINE-O-ACETTRAN-RXN	EC-2.3.1.30
RXN-14389	
RXN0-5055	EC-6.4.1.2
2.6.1.22-RXN	EC-2.6.1.22
RXN1F-153	
RXN-12204	EC-2.7.9.5
RXN-12393	EC-1.13.11.70
RXN-9631	EC-1.14.13
RXN-14354	EC-2.4.1.25
RXN-8040	EC-5.5.1
AGMATIN-RXN	EC-3.5.3.11
RXN0-7080	
RXN-10851	
RXN-7679	EC-1.17.7.2
RXN-10139	EC-2.6.1.99
RXN-14995	EC-3.1.4.57
RXN-7904	EC-6.2.1.3
1.1.1.51-RXN	EC-1.1.1.51
RXN-9556	EC-1.1.1.100
2.4.2.39-RXN	EC-2.4.2.39
RXN-13500	EC-1.14.13
3.2.1.18-RXN	EC-3.2.1.18
RXN-8434	EC-5.4.99.40
RXN4FS-12	
RXN-12292	EC-1.3.1
RXN-14812	
RXN-6524	EC-1.14.11
RXN-18161	EC-1.14.14
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	EC-3.2.1.67
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
RXN-7919	EC-3.1.2.6
DADPKIN-RXN	EC-2.7.4.6
RXN-11963	EC-2.5.1.87
UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.76
RXN-4221	
RXN-13025	
CHLORIDE-PEROXIDASE-RXN	EC-1.11.1.10
RXN-11757	EC-2.1.1.114
RXN-15137	
RXN-961	EC-1.13.11
IPPISOM-RXN	EC-5.3.3.2
2.3.1.168-RXN	EC-2.3.1.168
RXN4FS-9	EC-3.1.3
RXN-12865	
RXN-12754	
RXN-8154	EC-1.1.1
RXNQT-4361	EC-2.5.1
RIBOKIN-RXN	EC-2.7.1.15
RXN-10727	EC-3.1.2.14
RXN-7669	EC-2.4.1.18
RXN0-2382	EC-4.2.1.122
RXN-13302	EC-4.2.1.134
ALDEHYDE-OXIDASE-RXN	EC-1.2.3.1
NUCLEOSIDE-TRIPHOSPHATASE-RXN	EC-3.6.1.15
RXN-4725	EC-2.4.1
RXN-8304	EC-1.14.19.42
RXN-11211	EC-3.5.2.2
RXN-11419	
RXN-8028	EC-5.5.1.18
RXN-5985	EC-2.8.1
RXN1G-1438	EC-3.1.3.12
RXN-10654	EC-2.3.1.41
TRANS-RXN0-491	EC-3.6.3
1.11.1.15-RXN	EC-1.11.1.15
GCVT-RXN	EC-2.1.2.10
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
RXN-12091	EC-1.5.3.13	EC-1.5.3.17
RXN-13637	EC-1.1.1
RXN-7101	
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-7886	EC-1.13.11
RXN-11535	EC-1.14.13
RXN-6081	
RXN-11396	EC-3.6.1.55
6-PHOSPHOFRUCTO-2-KINASE-RXN	EC-2.7.1.105
RXN-11537	EC-1.14.13
URIDINEKIN-RXN	EC-2.7.1.48
RXN-8153	
RXN-6161	EC-4.1.1.1
RXN-6523	EC-1.14.11
3-OXOLAURATE-DECARBOXYLASE-RXN	EC-4.1.1.56
RXN-8680	EC-1.1.1
MYO-INOSITOL-OXYGENASE-RXN	EC-1.13.99.1
2.5.1.43-RXN	EC-2.5.1.43
RXN-18216	EC-3.2.1.147
RXN-15333	EC-2.4.1
RXN-16426	
RXN-13024	
RXN-15123	EC-3.5.99
RXN-12867	
RXN-9615	
RETICULINE-OXIDASE-RXN	EC-1.21.3.3
3.5.5.4-RXN	EC-3.5.5.4
RXN-2081	EC-2.1.1
RXN-7753	EC-2.1.1
RXNQT-4386	EC-2.7.7.41
RXN-8094	EC-1.2.3.1
RXN-4737	EC-2.4.1
RXN-12061	
RXN66-28	EC-1.3.1.72
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.81
GALACTONOLACTONE-DEHYDROGENASE-RXN	EC-1.3.2.3
FRUCTOKINASE-RXN	EC-2.7.1.4
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
RXN-7580	
RXN-16418	EC-6.2.1.3
L-GULONOLACTONE-OXIDASE-RXN	
RXN-14072	
SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.45
4-NITROPHENOL-2-MONOOXYGENASE-RXN	EC-1.14.13.29
